Generations,Time,Distance,Route
10,3,54450.17186621427,https://autarc.github.io/traveling-salesman-problem/#16-84-94-22-62-81-83-4-15-63-45-27-25-51-38-20-5-10-41-21-76-74-98-7-55-77-66-6-23-96-53-52-87-30-61-58-75-42-17-80-35-3-64-47-2-70-24-26-14-43-97-68-19-54-57-91-32-12-65-31-40-72-49-99-39-60-71-46-92-100-89-33-82-67-34-48-29-86-13-88-59-1-28-78-93-18-69-79-11-36-37-8-90-9-85-73-56-44-50-95
10,0,53661.29721498806,https://autarc.github.io/traveling-salesman-problem/#17-91-57-70-36-15-29-96-78-1-80-16-8-52-65-97-5-19-51-49-59-41-63-64-18-90-82-4-7-25-71-62-10-77-85-83-11-34-98-74-48-3-23-33-94-38-20-86-81-58-21-100-95-37-26-9-30-13-44-53-75-24-2-12-79-42-55-72-28-68-40-39-35-93-46-56-73-54-27-31-66-67-22-84-14-88-32-50-43-60-89-92-76-69-99-87-47-45-61-6
10,0,54065.65694389536,https://autarc.github.io/traveling-salesman-problem/#47-99-92-56-4-73-59-41-61-42-96-12-24-31-82-67-81-45-36-91-37-30-69-95-49-71-94-52-93-89-85-72-55-35-20-1-46-68-2-22-87-70-60-19-3-7-64-43-26-50-88-38-33-100-57-8-23-75-83-58-98-44-66-13-28-65-5-15-54-27-17-77-90-29-63-97-21-76-34-80-74-48-6-78-9-10-86-18-79-53-84-51-32-39-16-25-40-14-62-11
10,0,49000.36317467636,https://autarc.github.io/traveling-salesman-problem/#80-99-22-78-57-40-52-81-34-33-61-46-64-12-14-10-77-26-82-59-18-87-86-2-39-96-74-66-90-71-93-11-44-69-60-31-98-58-24-89-8-85-100-56-73-68-95-94-79-36-42-29-45-91-97-27-32-4-62-48-41-1-92-13-30-35-5-9-67-75-51-70-38-21-83-84-28-3-15-76-54-50-20-37-6-17-88-16-63-43-7-47-19-72-23-25-53-49-65-55
10,0,53730.87943433773,https://autarc.github.io/traveling-salesman-problem/#73-80-91-20-58-100-7-69-62-43-8-4-28-6-81-79-88-78-23-32-26-60-2-11-83-92-65-97-45-84-59-57-25-76-10-72-77-42-89-94-52-87-40-14-31-50-9-15-44-24-99-36-48-41-12-39-55-85-13-56-66-96-17-38-29-61-90-51-95-22-53-30-49-21-67-74-3-5-1-68-54-16-86-37-64-63-27-98-18-75-82-71-46-70-34-47-19-35-33-93
10,0,52740.30257532373,https://autarc.github.io/traveling-salesman-problem/#14-38-98-18-40-2-90-63-13-54-83-1-99-57-81-6-42-36-28-100-74-33-85-37-25-75-61-29-48-10-93-39-31-77-5-87-12-27-86-92-32-26-15-56-80-20-59-78-17-46-21-82-66-30-22-50-43-19-9-4-65-71-62-60-53-24-41-34-23-58-69-11-51-3-96-44-68-7-72-55-94-70-97-79-64-84-16-88-95-35-8-67-45-89-91-49-47-76-73-52
10,0,49791.13673328737,https://autarc.github.io/traveling-salesman-problem/#72-91-81-84-24-82-34-29-93-98-57-41-52-96-58-79-33-3-92-37-69-19-62-67-68-85-50-15-65-87-89-17-13-71-6-94-39-43-100-1-23-75-53-59-44-63-30-83-4-95-78-11-2-16-66-88-35-7-40-73-27-42-49-54-20-56-32-10-22-25-80-76-74-45-36-26-77-86-21-12-90-70-8-18-9-14-47-97-64-31-28-61-38-48-55-99-5-51-60-46
10,0,53806.103125764224,https://autarc.github.io/traveling-salesman-problem/#81-27-66-94-84-34-6-42-44-96-80-45-8-92-43-23-46-87-48-9-11-63-72-77-64-35-93-99-70-16-20-54-58-15-26-71-3-40-51-19-59-17-10-97-37-56-29-21-60-49-33-98-28-75-24-88-5-73-69-85-90-38-4-65-18-62-86-95-31-79-47-12-2-30-50-32-91-78-39-41-68-25-83-13-14-55-1-57-100-89-76-82-36-74-7-52-61-53-67-22
10,0,50901.39790240724,https://autarc.github.io/traveling-salesman-problem/#7-25-37-46-16-97-42-6-33-29-85-52-78-47-2-92-45-82-74-73-26-44-55-15-88-72-21-20-40-90-5-64-22-62-30-24-12-80-34-48-75-89-58-68-81-54-17-28-23-65-51-13-8-59-14-3-98-43-96-60-11-53-77-57-76-19-63-86-61-67-38-10-36-94-93-70-18-50-56-9-32-1-99-4-71-27-83-100-35-69-87-84-39-41-91-79-31-49-95-66
10,0,51548.39021792143,https://autarc.github.io/traveling-salesman-problem/#91-25-86-17-80-37-70-44-96-72-22-95-1-68-71-89-36-27-58-10-50-87-75-64-8-16-81-73-15-14-63-48-12-31-5-41-77-2-53-20-38-84-6-85-88-32-33-93-94-43-90-19-74-29-100-66-61-7-24-76-28-4-69-26-45-3-78-46-30-98-23-79-67-55-47-99-9-40-65-13-62-60-51-56-92-35-52-59-83-18-21-54-49-39-82-57-97-11-42-34
100,0,44597.88022533143,https://autarc.github.io/traveling-salesman-problem/#100-24-35-71-47-97-55-32-67-34-30-15-69-70-89-50-99-64-73-65-3-75-82-4-44-11-80-60-22-85-18-13-42-1-86-40-10-45-43-58-26-72-59-20-27-95-46-54-19-49-84-7-28-56-94-77-98-53-16-93-90-62-8-25-39-79-31-5-81-48-17-38-9-78-33-96-52-61-83-12-21-14-92-2-29-41-91-76-6-87-63-36-23-66-37-74-88-57-51-68
100,1,43197.388336532254,https://autarc.github.io/traveling-salesman-problem/#39-89-2-64-20-98-61-78-38-68-21-4-58-31-30-91-1-63-9-10-17-88-70-99-35-22-50-14-62-74-45-36-48-28-32-37-18-12-60-53-79-81-55-96-16-77-33-83-86-26-67-13-34-11-90-75-41-29-52-59-6-24-42-69-51-49-8-80-65-15-73-56-3-92-84-94-82-85-87-47-57-76-66-23-43-54-46-93-40-25-100-97-72-19-27-44-5-71-95-7
