Temperature,Cooling Rate,Absolute Temperature, Time, Distance, Route
1000,0.1,0.00001,0,51961.85449369647,https://autarc.github.io/traveling-salesman-problem/#41-14-96-7-22-26-1-55-52-10-92-47-54-56-83-12-78-74-46-77-94-99-85-67-79-28-31-45-91-29-11-24-44-38-76-40-59-48-58-43-64-2-27-23-49-60-19-57-8-17-62-97-25-3-21-9-51-66-50-70-33-35-61-68-86-42-32-82-100-98-30-36-63-81-4-90-18-15-72-69-84-75-89-16-5-34-20-6-39-71-88-80-53-37-93-95-73-13-65-87
1000,0.1,0.00001,0,48950.418989810256,https://autarc.github.io/traveling-salesman-problem/#96-36-90-33-32-55-100-18-77-21-3-97-42-58-84-95-61-64-66-52-68-41-48-65-72-25-7-30-39-86-70-94-62-75-14-47-88-89-74-57-81-9-6-24-8-93-17-45-31-11-99-10-22-19-38-69-53-79-23-16-83-60-4-26-98-1-87-78-5-91-63-54-15-67-46-85-49-34-76-35-29-82-28-92-37-51-13-12-73-50-59-56-80-40-27-44-2-20-71-43
1000,0.1,0.00001,0,54085.44890269801,https://autarc.github.io/traveling-salesman-problem/#24-61-17-71-16-73-60-76-40-57-25-8-38-100-7-50-4-97-95-3-55-81-43-66-45-46-29-26-91-44-77-72-96-84-28-80-74-54-59-5-36-47-35-99-90-49-82-93-92-86-1-98-37-52-89-30-6-12-94-18-69-20-42-64-53-34-11-85-9-75-19-21-15-67-32-41-2-48-63-31-62-78-33-68-87-27-88-83-79-10-51-65-22-39-13-70-14-56-58-23
1000,0.1,0.00001,0,54998.152090513424,https://autarc.github.io/traveling-salesman-problem/#58-13-4-49-36-2-82-93-80-96-63-54-8-48-50-91-38-60-92-85-35-90-95-75-51-79-25-64-69-67-46-43-22-94-31-66-73-37-10-19-100-44-71-27-15-53-72-70-32-84-99-34-78-9-29-98-26-39-14-45-17-56-97-28-62-30-88-76-40-6-5-24-23-89-18-7-87-57-47-61-55-81-12-65-16-86-83-21-1-3-74-52-11-42-59-20-33-68-41-77
1000,0.1,0.00001,0,53876.74686728293,https://autarc.github.io/traveling-salesman-problem/#31-72-92-29-14-61-1-18-26-32-54-91-49-6-38-12-75-69-71-78-77-62-68-82-59-63-34-81-37-17-51-100-96-16-30-13-39-2-19-55-64-95-9-42-40-80-79-23-47-53-97-33-5-98-48-46-28-99-4-22-83-88-60-87-58-76-94-93-89-43-66-20-25-45-27-84-21-8-73-24-50-65-3-85-36-90-44-56-67-11-86-74-57-10-70-15-52-7-35-41
10000,0.2,0.00001,1,55011.358973787246,https://autarc.github.io/traveling-salesman-problem/#48-44-95-21-32-11-20-84-33-55-30-38-12-40-94-43-17-70-49-28-50-37-62-65-46-68-78-56-41-60-36-5-39-29-8-92-52-72-22-98-64-9-24-45-51-91-16-96-23-2-53-99-57-76-87-73-13-97-54-26-14-80-42-18-82-3-77-27-86-61-59-81-4-71-25-7-88-85-83-67-58-63-74-35-93-69-34-15-89-31-100-6-66-75-10-90-47-1-19-79
10000,0.2,0.00001,0,51718.871887097295,https://autarc.github.io/traveling-salesman-problem/#4-37-35-80-56-77-33-6-79-12-60-90-58-11-96-97-43-20-70-29-93-67-59-3-98-72-54-17-76-32-30-88-31-1-21-73-25-81-22-13-63-19-46-28-26-27-7-51-10-78-2-18-40-53-8-83-9-92-89-99-38-71-95-84-64-15-66-65-41-49-55-34-61-39-75-45-52-62-82-36-87-14-94-57-5-44-100-50-69-24-47-74-16-85-23-42-48-91-86-68
10000,0.2,0.00001,0,51615.0132964289,https://autarc.github.io/traveling-salesman-problem/#61-7-85-67-32-71-60-55-23-35-87-49-84-74-88-91-15-45-20-25-52-96-10-43-48-27-57-79-22-86-68-90-12-51-40-72-76-73-100-28-38-19-54-1-47-69-5-97-34-36-83-16-99-77-93-21-56-39-26-46-2-33-41-70-50-44-42-75-18-78-6-95-62-13-66-58-31-24-81-80-17-82-63-9-98-29-89-4-94-11-14-53-3-59-30-92-37-65-8-64
10000,0.2,0.00001,0,55930.00460596613,https://autarc.github.io/traveling-salesman-problem/#91-39-19-1-21-51-49-26-11-88-72-68-17-3-93-60-33-86-71-37-74-52-53-82-67-95-77-5-55-18-30-58-98-50-79-41-12-24-96-81-34-32-14-66-4-36-89-13-69-8-59-84-64-75-43-99-42-100-2-65-9-54-73-31-97-57-29-83-94-70-46-25-76-85-20-48-23-87-63-45-38-7-6-56-61-35-80-92-22-47-44-78-27-10-40-16-28-90-62-15
10000,0.2,0.00001,0,51462.916855443735,https://autarc.github.io/traveling-salesman-problem/#81-65-79-61-3-97-74-50-37-15-60-94-45-41-51-93-36-86-71-66-67-84-72-4-62-70-29-99-25-100-52-95-54-63-28-90-16-85-88-82-26-27-7-44-83-31-17-53-14-92-22-91-20-57-64-75-18-49-8-73-35-13-6-76-9-78-59-10-38-56-68-33-47-39-1-58-55-40-89-42-48-2-96-30-23-19-77-46-34-24-5-32-98-21-12-69-87-80-11-43
